西暦,和暦,岐阜県,愛知県,三重県,福井県,滋賀県,栃木県,富山県,奈良県,大阪府,京都府,新潟県,神奈川県,千葉県,茨城県,福島県,山形県,徳島県,香川県,愛媛県,高知県,鹿児島県,熊本県,長崎県,佐賀県,山口県,岡山県,島根県,鳥取県,宮城県,岩手県
2016,H28,10416,7054,13900,9545,6005,8692,4360,7607,4188,12719,2067,2603,28599,8117,26130,770,6343,12118,24868,17505,20982,31068,43488,28284,19199,24211,20239,11970,8330,94
2017,H29,12173,7988,14700,7890,5396,9305,5267,9167,3969,9781,2689,2196,19582,7606,20603,838,7600,11642,23024,20766,18989,32127,36779,22200,15131,23010,12229,5583,7179,80
2018,H30,10716,8151,15487,6766,6080,12084,5959,8838,4074,11264,2657,2469,27399,9579,29727,1575,7451,11766,24893,17845,19415,30737,35027,22441,22539,26042,18131,11027,10074,243
2019,R1,5875,9250,16511,8952,5505,11252,8172,7239,3137,11904,2953,3883,22351,11387,30738,2002,8163,14743,23774,23200,24638,35242,37125,21158,16870,31945,15810,12955,10791,346
2020,R2,6818,6653,12634,4534,2210,4747,3325,8471,3684,9166,4689,3105,31861,11963,35698,3545,7427,12648,31559,20281,29315,37251,48541,28705,22004,31650,22232,12113,12837,662
2021,R3,6205,4980,6960,2042,1607,5801,3446,2957,1132,6078,3281,2169,20729,4681,18767,2654,8855,14349,26956,18236,26290,32591,40409,25495,22228,25000,15786,9900,8815,945
